Date,Description,Withdrawal,Deposit,Balance
2026-08-06,"NEFT-RAZORPAY SOFTWARE-UTR89200000001-SETTLEMENT",,512.34,50512.34
2026-08-06,"NEFT-RAZORPAY SOFTWARE-UTR89200000002-SETTLEMENT",,524.68,51037.02
2026-08-07,"NEFT-RAZORPAY SOFTWARE-UTR89200000003-SETTLEMENT",,537.02,51574.04
2026-08-07,"NEFT-RAZORPAY SOFTWARE-UTR89200000004-SETTLEMENT",,549.36,52123.40
2026-08-07,"NEFT-RAZORPAY SOFTWARE-UTR89200000005-SETTLEMENT",,561.70,52685.10
2026-08-08,"NEFT-RAZORPAY SOFTWARE-UTR89200000006-SETTLEMENT",,574.04,53259.14
2026-08-08,"NEFT-RAZORPAY SOFTWARE-UTR89200000007-SETTLEMENT",,586.38,53845.52
2026-08-08,"NEFT-RAZORPAY SOFTWARE-UTR89200000008-SETTLEMENT",,598.72,54444.24
2026-08-08,"NEFT-RAZORPAY SOFTWARE-UTR89200000009-SETTLEMENT",,611.06,55055.30
2026-08-09,"NEFT-RAZORPAY SOFTWARE-UTR89200000010-SETTLEMENT",,623.40,55678.70
2026-08-09,"NEFT-RAZORPAY SOFTWARE-UTR89200000011-SETTLEMENT",,635.74,56314.44
2026-08-09,"NEFT-RAZORPAY SOFTWARE-UTR89200000012-SETTLEMENT",,648.08,56962.52
2026-08-10,"NEFT-RAZORPAY SOFTWARE-UTR89200000013-SETTLEMENT",,660.42,57622.94
2026-08-10,"NEFT-RAZORPAY SOFTWARE-UTR89200000014-SETTLEMENT",,672.76,58295.70
2026-08-10,"NEFT-RAZORPAY SOFTWARE-UTR89200000016-SETTLEMENT",,697.44,58993.14
2026-08-11,"NEFT-RAZORPAY SOFTWARE-UTR89200000017-SETTLEMENT",,709.78,59702.92
2026-08-11,"NEFT-RAZORPAY SOFTWARE-UTR89200000018-SETTLEMENT",,722.12,60425.04
2026-08-11,"NEFT-RAZORPAY SOFTWARE-UTR89200000019-SETTLEMENT",,734.46,61159.50
2026-08-11,"NEFT-RAZORPAY SOFTWARE-UTR89200000020-SETTLEMENT",,746.80,61906.30
2026-08-12,"NEFT-RAZORPAY SOFTWARE-UTR89200000021-SETTLEMENT",,759.14,62665.44
2026-08-12,"NEFT-RAZORPAY SOFTWARE-UTR89200000022-SETTLEMENT",,771.48,63436.92
2026-08-12,"NEFT-RAZORPAY SOFTWARE-UTR89200000023-SETTLEMENT",,783.82,64220.74
2026-08-13,"NEFT-RAZORPAY SOFTWARE-UTR89200000024-SETTLEMENT",,796.16,65016.90
2026-08-13,"NEFT-RAZORPAY SOFTWARE-UTR89200000025-SETTLEMENT",,808.50,65825.40
2026-08-13,"NEFT-RAZORPAY SOFTWARE-UTR89200000026-SETTLEMENT",,820.84,66646.24
2026-08-13,"NEFT-RAZORPAY SOFTWARE-UTR89200000027-SETTLEMENT",,830.68,67476.92
2026-08-14,"NEFT-RAZORPAY SOFTWARE-UTR89200000028-SETTLEMENT",,845.52,68322.44
2026-08-14,"NEFT-RAZORPAY SOFTWARE-UTR89200000029-SETTLEMENT",,857.86,69180.30
2026-08-14,"NEFT-RAZORPAY SOFTWARE-UTR89200000030-SETTLEMENT",,870.20,70050.50
2026-08-15,"NEFT-RAZORPAY SOFTWARE-UTR89200000031-SETTLEMENT",,882.54,70933.04
2026-08-15,"NEFT-RAZORPAY SOFTWARE-UTR89200000032-SETTLEMENT",,894.88,71827.92
2026-08-15,"NEFT-RAZORPAY SOFTWARE-UTR89200000033-SETTLEMENT",,907.22,72735.14
2026-08-15,"NEFT-UNKNOWN-REF33",,500.00,73235.14
2026-08-15,"NEFT-RAZORPAY SOFTWARE-UTR89200000034-SETTLEMENT",,919.56,74154.70
2026-08-16,"NEFT-RAZORPAY SOFTWARE-UTR89200000035-SETTLEMENT",,931.90,75086.60
2026-08-16,"NEFT-RAZORPAY SOFTWARE-UTR89200000036-SETTLEMENT",,944.24,76030.84
2026-08-16,"NEFT-RAZORPAY SOFTWARE-UTR89200000037-SETTLEMENT",,956.58,76987.42
2026-08-16,"NEFT-RAZORPAY SOFTWARE-UTR89200000038-SETTLEMENT",,968.92,77956.34
2026-08-17,"NEFT-RAZORPAY SOFTWARE-UTR89200000039-SETTLEMENT",,981.26,78937.60
2026-08-17,"NEFT-RAZORPAY SOFTWARE-UTR89200000040-SETTLEMENT",,993.60,79931.20
2026-08-17,"NEFT-RAZORPAY SOFTWARE-UTR89200000041-SETTLEMENT",,1005.94,80937.14
2026-08-18,"NEFT-RAZORPAY SOFTWARE-UTR89200000043-SETTLEMENT",,1030.62,81967.76
2026-08-18,"NEFT-RAZORPAY SOFTWARE-UTR89200000044-SETTLEMENT",,1042.96,83010.72
2026-08-18,"NEFT-RAZORPAY SOFTWARE-UTR89200000045-SETTLEMENT",,1055.30,84066.02
2026-08-19,"NEFT-RAZORPAY SOFTWARE-UTR89200000046-SETTLEMENT",,1067.64,85133.66
2026-08-19,"NEFT-RAZORPAY SOFTWARE-UTR89200000047-SETTLEMENT",,1079.98,86213.64
2026-08-19,"NEFT-RAZORPAY SOFTWARE-UTR89200000048-SETTLEMENT",,1092.32,87305.96
2026-08-20,"NEFT-RAZORPAY SOFTWARE-UTR89200000049-SETTLEMENT",,1104.66,88410.62
2026-08-20,"NEFT-RAZORPAY SOFTWARE-UTR89200000050-SETTLEMENT",,1117.00,89527.62
2026-08-20,"NEFT-RAZORPAY SOFTWARE-UTR89200000051-SETTLEMENT",,1129.34,90656.96
2026-08-20,"NEFT-RAZORPAY SOFTWARE-UTR89200000052-SETTLEMENT",,1141.68,91798.64
2026-08-21,"NEFT-RAZORPAY SOFTWARE-UTR89200000053-SETTLEMENT",,1154.02,92952.66
2026-08-21,"NEFT-RAZORPAY SOFTWARE-UTR89200000054-SETTLEMENT",,1166.36,94119.02
2026-08-21,"NEFT-RAZORPAY SOFTWARE-UTR89200000055-SETTLEMENT",,1176.20,95295.22
2026-08-21,"NEFT-RAZORPAY SOFTWARE-UTR89200000056-SETTLEMENT",,1191.04,96486.26
2026-08-22,"NEFT-RAZORPAY SOFTWARE-UTR89200000057-SETTLEMENT",,1203.38,97689.64
2026-08-22,"NEFT-RAZORPAY SOFTWARE-UTR89200000058-SETTLEMENT",,1215.72,98905.36
2026-08-22,"NEFT-RAZORPAY SOFTWARE-UTR89200000059-SETTLEMENT",,1228.06,100133.42
2026-08-23,"NEFT-RAZORPAY SOFTWARE-UTR89200000060-SETTLEMENT",,1240.40,101373.82
2026-08-23,"NEFT-RAZORPAY SOFTWARE-UTR89200000061-SETTLEMENT",,1252.74,102626.56
2026-08-23,"NEFT-RAZORPAY SOFTWARE-UTR89200000062-SETTLEMENT",,1265.08,103891.64
2026-08-23,"NEFT-RAZORPAY SOFTWARE-UTR89200000063-SETTLEMENT",,1277.42,105169.06
2026-08-24,"NEFT-RAZORPAY SOFTWARE-UTR89200000064-SETTLEMENT",,1289.76,106458.82
2026-08-24,"NEFT-RAZORPAY SOFTWARE-UTR89200000065-SETTLEMENT",,1302.10,107760.92
2026-08-24,"NEFT-RAZORPAY SOFTWARE-UTR89200000066-SETTLEMENT",,1314.44,109075.36
2026-08-24,"NEFT-UNKNOWN-REF66",,500.00,109575.36
2026-08-25,"NEFT-RAZORPAY SOFTWARE-UTR89200000067-SETTLEMENT",,1326.78,110902.14
2026-08-25,"NEFT-RAZORPAY SOFTWARE-UTR89200000068-SETTLEMENT",,1339.12,112241.26
2026-08-25,"NEFT-RAZORPAY SOFTWARE-UTR89200000069-SETTLEMENT",,1351.46,113592.72
2026-08-25,"NEFT-RAZORPAY SOFTWARE-UTR89200000070-SETTLEMENT",,1363.80,114956.52
2026-08-26,"NEFT-RAZORPAY SOFTWARE-UTR89200000071-SETTLEMENT",,1373.64,116330.16
2026-08-26,"NEFT-RAZORPAY SOFTWARE-UTR89200000072-SETTLEMENT",,1388.48,117718.64
2026-08-26,"NEFT-RAZORPAY SOFTWARE-UTR89200000073-SETTLEMENT",,1400.82,119119.46
2026-08-26,"NEFT-RAZORPAY SOFTWARE-UTR89200000074-SETTLEMENT",,1413.16,120532.62
2026-08-27,"NEFT-RAZORPAY SOFTWARE-UTR89200000075-SETTLEMENT",,1425.50,121958.12
2026-08-27,"NEFT-RAZORPAY SOFTWARE-UTR89200000076-SETTLEMENT",,1437.84,123395.96
2026-08-27,"NEFT-RAZORPAY SOFTWARE-UTR89200000077-SETTLEMENT",,1450.18,124846.14
2026-08-28,"NEFT-RAZORPAY SOFTWARE-UTR89200000078-SETTLEMENT",,1462.52,126308.66
2026-08-28,"NEFT-RAZORPAY SOFTWARE-UTR89200000079-SETTLEMENT",,1474.86,127783.52
2026-08-28,"NEFT-RAZORPAY SOFTWARE-UTR89200000080-SETTLEMENT",,1487.20,129270.72
2026-08-28,"NEFT-RAZORPAY SOFTWARE-UTR89200000081-SETTLEMENT",,1499.54,130770.26
2026-08-29,"NEFT-RAZORPAY SOFTWARE-UTR89200000082-SETTLEMENT",,1511.88,132282.14
2026-08-29,"NEFT-RAZORPAY SOFTWARE-UTR89200000083-SETTLEMENT",,1524.22,133806.36
2026-08-29,"NEFT-RAZORPAY SOFTWARE-UTR89200000084-SETTLEMENT",,1536.56,135342.92
2026-08-30,"NEFT-RAZORPAY SOFTWARE-UTR89200000085-SETTLEMENT",,1548.90,136891.82
2026-08-30,"NEFT-RAZORPAY SOFTWARE-UTR89200000086-SETTLEMENT",,1561.24,138453.06
2026-08-30,"NEFT-RAZORPAY SOFTWARE-UTR89200000087-SETTLEMENT",,1573.58,140026.64
2026-08-31,"NEFT-RAZORPAY SOFTWARE-UTR89200000089-SETTLEMENT",,1598.26,141624.90
2026-08-31,"NEFT-RAZORPAY SOFTWARE-UTR89200000090-SETTLEMENT",,1610.60,143235.50
2026-08-31,"NEFT-RAZORPAY SOFTWARE-UTR89200000091-SETTLEMENT",,1622.94,144858.44
2026-08-31,"NEFT-RAZORPAY SOFTWARE-UTR89200000092-SETTLEMENT",,1635.28,146493.72
2026-09-01,"NEFT-RAZORPAY SOFTWARE-UTR89200000093-SETTLEMENT",,1647.62,148141.34
2026-09-01,"NEFT-RAZORPAY SOFTWARE-UTR89200000094-SETTLEMENT",,1659.96,149801.30
2026-09-01,"NEFT-RAZORPAY SOFTWARE-UTR89200000095-SETTLEMENT",,1672.30,151473.60
2026-09-02,"NEFT-RAZORPAY SOFTWARE-UTR89200000096-SETTLEMENT",,1684.64,153158.24
2026-09-02,"NEFT-RAZORPAY SOFTWARE-UTR89200000097-SETTLEMENT",,1696.98,154855.22
2026-09-02,"NEFT-RAZORPAY SOFTWARE-UTR89200000098-SETTLEMENT",,1709.32,156564.54
2026-09-02,"NEFT-RAZORPAY SOFTWARE-UTR89200000099-SETTLEMENT",,1721.66,158286.20
2026-09-03,"NEFT-RAZORPAY SOFTWARE-UTR89200000100-SETTLEMENT",,1734.00,160020.20
